tie;ajorata;kaista;osa;aet;let;tietyyppi;s_tietyyppi;katyyppi;s_katyyppi
1;1;11;1;0;3264;3;katu;1;pääkaista
1;1;12;1;0;3264;3;katu;2;ohitus
1;2;21;1;0;3264;3;katu;1;pääkaista
1;2;22;1;0;3264;3;katu;2;ohitus
1;1;11;2;0;1742;3;katu;1;pääkaista
1;1;11;2;1742;2570;3;katu;1;pääkaista
1;1;12;2;0;1742;3;katu;2;ohitus
1;1;12;2;1742;2570;3;katu;2;ohitus
1;2;21;2;0;1742;3;katu;1;pääkaista
1;2;21;2;1742;2570;3;katu;1;pääkaista
1;2;22;2;0;1742;3;katu;2;ohitus
1;2;22;2;1742;2570;3;katu;2;ohitus
1;1;11;3;0;30;1;tie;1;pääkaista
1;1;11;3;30;2444;1;tie;1;pääkaista
1;1;11;3;2444;3319;1;tie;1;pääkaista
1;1;11;3;3319;3671;1;tie;1;pääkaista
1;1;11;3;3671;3812;1;tie;1;pääkaista
1;1;12;3;0;30;1;tie;2;ohitus
1;1;12;3;30;2444;1;tie;2;ohitus
1;1;12;3;2444;3319;1;tie;2;ohitus
1;1;12;3;3319;3671;1;tie;2;ohitus
1;1;12;3;3671;3812;1;tie;2;ohitus
1;1;13;3;2444;3319;1;tie;5;suoraanlis
1;1;13;3;3319;3671;1;tie;11;vaihtuvasu
1;1;13;3;3671;3812;1;tie;11;vaihtuvasu
1;2;21;3;0;30;1;tie;1;pääkaista
1;2;21;3;30;2444;1;tie;1;pääkaista
1;2;21;3;2444;3319;1;tie;1;pääkaista
1;2;21;3;3319;3671;1;tie;1;pääkaista
1;2;21;3;3671;3812;1;tie;1;pääkaista
1;2;22;3;0;30;1;tie;2;ohitus
1;2;22;3;30;2444;1;tie;2;ohitus
1;2;22;3;2444;3319;1;tie;2;ohitus
1;2;22;3;3319;3671;1;tie;2;ohitus
1;2;22;3;3671;3812;1;tie;2;ohitus
1;2;23;3;0;30;1;tie;5;suoraanlis
1;2;23;3;30;2444;1;tie;5;suoraanlis
1;2;23;3;2444;3319;1;tie;9;joukkoliik
1;2;23;3;3319;3671;1;tie;9;joukkoliik
1;2;23;3;3671;3705;1;tie;9;joukkoliik
1;1;11;4;0;238;1;tie;1;pääkaista
1;1;11;4;238;746;1;tie;1;pääkaista
1;1;11;4;746;2938;1;tie;1;pääkaista
1;1;11;4;2938;3364;1;tie;1;pääkaista
1;1;11;4;3364;3389;1;tie;1;pääkaista
1;1;12;4;0;238;1;tie;2;ohitus
1;1;12;4;238;746;1;tie;2;ohitus
1;1;12;4;746;2938;1;tie;2;ohitus
1;1;12;4;2938;3364;1;tie;2;ohitus
1;1;12;4;3364;3389;1;tie;2;ohitus
1;1;13;4;0;238;1;tie;11;vaihtuvasu
1;1;13;4;238;746;1;tie;11;vaihtuvasu
1;1;13;4;746;2938;1;tie;11;vaihtuvasu
1;1;13;4;2938;3364;1;tie;11;vaihtuvasu
1;1;13;4;3364;3389;1;tie;11;vaihtuvasu
1;2;21;4;0;238;1;tie;1;pääkaista
1;2;21;4;238;746;1;tie;1;pääkaista
1;2;21;4;746;2938;1;tie;1;pääkaista
1;2;21;4;2938;3364;1;tie;1;pääkaista
1;2;21;4;3364;3389;1;tie;1;pääkaista
1;2;22;4;0;238;1;tie;2;ohitus
1;2;22;4;238;746;1;tie;2;ohitus
1;2;22;4;746;2938;1;tie;2;ohitus
1;2;22;4;2938;3364;1;tie;2;ohitus
1;2;22;4;3364;3389;1;tie;2;ohitus
1;2;23;4;238;746;1;tie;5;suoraanlis
1;2;23;4;746;2938;1;tie;5;suoraanlis
1;2;23;4;2938;3337;1;tie;5;suoraanlis
1;1;11;5;0;823;1;tie;1;pääkaista
1;1;11;5;823;6769;1;tie;1;pääkaista
1;1;12;5;0;823;1;tie;2;ohitus
1;1;12;5;823;6769;1;tie;2;ohitus
1;1;13;5;0;823;1;tie;11;vaihtuvasu
1;1;13;5;6173;6264;1;tie;8;sekoittum
1;2;21;5;0;823;1;tie;1;pääkaista
1;2;21;5;823;6769;1;tie;1;pääkaista
1;2;22;5;0;823;1;tie;2;ohitus
1;2;22;5;823;6769;1;tie;2;ohitus
1;1;11;6;0;5404;1;tie;1;pääkaista
1;1;11;6;5404;5409;1;tie;1;pääkaista
1;1;12;6;0;5404;1;tie;2;ohitus
1;1;12;6;5404;5409;1;tie;2;ohitus
1;2;21;6;0;5404;1;tie;1;pääkaista
1;2;21;6;5404;5409;1;tie;1;pääkaista
